prob_0,prob_1,predicted_class,set,date,true_y
0.8865575,0.11344253,0,train,1981-07-02,0
0.7331858,0.26681414,0,train,1981-07-03,0
0.8899852,0.11001482,0,train,1981-07-04,0
0.9207121,0.07928784,0,train,1981-07-05,0
0.9738308,0.02616917,0,train,1981-07-06,0
0.9655696,0.034430414,0,train,1981-07-07,0
0.643022,0.35697794,0,train,1981-07-08,0
0.87352437,0.12647569,0,test,1981-07-09,0
0.98502016,0.014979809,0,train,1981-07-10,0
0.95901906,0.04098087,0,train,1981-07-11,0
0.91865844,0.081341624,0,train,1981-07-12,0
0.90256757,0.097432494,0,train,1981-07-13,0
0.5764797,0.42352033,0,train,1981-07-14,0
0.10715633,0.89284366,1,train,1981-07-15,0
0.26257735,0.73742265,1,test,1981-07-16,0
0.73536676,0.26463327,0,test,1981-07-17,0
0.6773025,0.32269752,0,train,1981-07-18,0
0.26303208,0.7369679,1,train,1981-07-19,0
0.32331288,0.6766871,1,test,1981-07-20,0
0.9557723,0.044227682,0,train,1981-07-21,0
0.9803017,0.019698285,0,train,1981-07-22,0
0.7772988,0.22270116,0,train,1981-07-23,0
0.74645954,0.25354046,0,test,1981-07-24,0
0.40574542,0.59425455,1,train,1981-07-25,0
0.31167814,0.6883218,1,train,1981-07-26,1
0.11869899,0.881301,1,test,1981-07-27,1
0.107771166,0.89222884,1,test,1981-07-28,1
0.9728924,0.027107613,0,train,1981-07-29,0
0.98086756,0.01913241,0,train,1981-07-30,0
0.9407998,0.05920022,0,train,1981-07-31,0
0.9462894,0.053710528,0,test,1981-08-01,0
0.8845947,0.11540527,0,train,1981-08-02,1
0.9427168,0.05728325,0,train,1981-08-03,0
0.96619606,0.033803966,0,test,1981-08-04,0
0.91079116,0.0892088,0,train,1981-08-05,0
0.7276972,0.27230284,0,test,1981-08-06,0
0.38135135,0.6186486,1,test,1981-08-07,0
0.69340366,0.30659637,0,train,1981-08-08,0
0.8482232,0.15177673,0,train,1981-08-09,0
0.7874149,0.21258514,0,train,1981-08-10,0
0.74163616,0.25836387,0,train,1981-08-11,0
0.948375,0.051625036,0,train,1981-08-12,0
0.8750346,0.12496545,0,test,1981-08-13,0
0.6181778,0.38182223,0,train,1981-08-14,0
0.32259145,0.6774085,1,train,1981-08-15,0
0.72617817,0.27382183,0,train,1981-08-16,0
0.9333764,0.06662367,0,train,1981-08-17,0
0.87289625,0.1271037,0,train,1981-08-18,0
0.9382878,0.061712187,0,train,1981-08-19,0
0.99076056,0.0092394315,0,train,1981-08-20,0
0.9849037,0.015096304,0,train,1981-08-21,0
0.98451775,0.015482273,0,train,1981-08-22,0
0.9123223,0.08767779,0,train,1981-08-23,0
0.9068037,0.09319634,0,test,1981-08-24,0
0.8006852,0.1993147,0,test,1981-08-25,0
0.34881663,0.65118337,1,test,1981-08-26,0
0.28235412,0.7176458,1,train,1981-08-27,0
0.41605306,0.58394694,1,train,1981-08-28,0
0.76755184,0.2324481,0,train,1981-08-29,0
0.904059,0.095941,0,train,1981-08-30,0
0.6210341,0.37896588,0,train,1981-08-31,0
0.3589386,0.64106137,1,test,1981-09-01,0
0.87639934,0.12360066,0,train,1981-09-02,0
0.54149735,0.45850265,0,train,1981-09-03,0
0.7536944,0.24630566,0,test,1981-09-04,0
0.85911757,0.14088243,0,test,1981-09-05,0
0.7676102,0.2323898,0,train,1981-09-06,0
0.5509418,0.44905815,0,train,1981-09-07,1
0.96303576,0.036964264,0,train,1981-09-08,0
0.993765,0.006235022,0,train,1981-09-09,0
0.98001343,0.01998659,0,train,1981-09-10,0
0.84926283,0.1507372,0,train,1981-09-11,0
0.9649034,0.035096604,0,train,1981-09-12,0
0.9641226,0.035877388,0,train,1981-09-13,0
0.9388392,0.06116083,0,train,1981-09-14,0
0.9160798,0.08392014,0,train,1981-09-15,0
0.94961196,0.050388042,0,train,1981-09-16,0
0.99544865,0.0045513674,0,train,1981-09-17,0
0.9993699,0.0006300596,0,train,1981-09-18,0
0.9992151,0.00078484433,0,test,1981-09-19,0
0.9814434,0.018556584,0,train,1981-09-20,0
0.8525048,0.14749518,0,train,1981-09-21,0
0.89010096,0.10989901,0,train,1981-09-22,0
0.9870352,0.012964784,0,train,1981-09-23,0
0.9565367,0.04346331,0,train,1981-09-24,0
0.5941936,0.40580642,0,test,1981-09-25,0
0.23205942,0.7679406,1,train,1981-09-26,0
0.83658695,0.16341305,0,train,1981-09-27,0
0.9822499,0.017750096,0,test,1981-09-28,0
0.8908167,0.10918327,0,train,1981-09-29,0
0.2762693,0.72373074,1,test,1981-09-30,0
0.06386065,0.93613935,1,train,1981-10-01,0
0.98973876,0.01026119,0,test,1981-10-02,0
0.9797505,0.020249516,0,train,1981-10-03,0
0.6797479,0.32025212,0,train,1981-10-04,1
0.6611806,0.33881938,0,test,1981-10-05,0
0.7117143,0.28828573,0,train,1981-10-06,0
0.98234886,0.01765115,0,train,1981-10-07,0
0.9867676,0.013232457,0,train,1981-10-08,0
0.8685413,0.13145874,0,train,1981-10-09,0
0.82302827,0.17697167,0,test,1981-10-10,0
0.930021,0.06997896,0,train,1981-10-11,0
0.8300416,0.16995841,0,test,1981-10-12,0
0.68177116,0.31822878,0,train,1981-10-13,0
0.3636029,0.6363971,1,train,1981-10-14,1
0.91183007,0.08816994,0,train,1981-10-15,0
0.96950513,0.030494891,0,train,1981-10-16,0
0.6140304,0.38596958,0,train,1981-10-17,0
0.66931707,0.33068287,0,train,1981-10-18,1
0.9971275,0.002872491,0,train,1981-10-19,0
0.96771026,0.0322897,0,test,1981-10-20,0
0.68683904,0.31316093,0,train,1981-10-21,0
0.6757797,0.32422033,0,train,1981-10-22,0
0.9694614,0.030538594,0,train,1981-10-23,0
0.9874641,0.012535897,0,test,1981-10-24,0
0.79828584,0.20171417,0,test,1981-10-25,0
0.95615906,0.043840904,0,train,1981-10-26,0
0.9890732,0.010926748,0,train,1981-10-27,0
0.9776158,0.022384185,0,test,1981-10-28,0
0.9365704,0.063429594,0,train,1981-10-29,0
0.61099654,0.38900346,0,train,1981-10-30,0
0.3201859,0.6798141,1,train,1981-10-31,0
0.15948966,0.84051037,1,train,1981-11-01,0
0.38755628,0.61244375,1,train,1981-11-02,0
0.76693994,0.23306009,0,train,1981-11-03,0
0.90648365,0.09351635,0,train,1981-11-04,0
0.9696624,0.030337589,0,train,1981-11-05,0
0.9886873,0.011312757,0,test,1981-11-06,0
0.9895303,0.010469679,0,train,1981-11-07,0
0.88065064,0.11934934,0,train,1981-11-08,0
0.97869956,0.02130043,0,train,1981-11-09,0
0.9876343,0.012365707,0,train,1981-11-10,0
0.9909339,0.009066152,0,train,1981-11-11,0
0.9916586,0.008341397,0,train,1981-11-12,0
0.9891917,0.010808304,0,test,1981-11-13,0
0.990137,0.009863031,0,test,1981-11-14,0
0.9852701,0.014729957,0,train,1981-11-15,0
